Transaction_ID,Date,Time,Item,Transaction_Type,Amount,Customer_ID,Card_Number,Store_Number,Store_Name,City,State,Zip_Code,Product_Category
1000,2013-01-01,08:26,Food,In-store,5.34,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1001,2013-01-01,08:26,Drink,In-store,3.56,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Beverages
1002,2013-01-01,08:26,Food,In-store,5.34,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1003,2013-01-01,08:26,Food,In-store,2.67,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1004,2013-01-01,08:26,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1005,2013-01-01,08:27,Non-consumable,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1006,2013-01-01,08:27,Drink,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Beverages
1007,2013-01-01,08:27,Drink,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Beverages
1008,2013-01-01,08:27,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1009,2013-01-01,08:27,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1010,2013-01-01,08:27,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1011,2013-01-01,08:28,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1012,2013-01-01,08:28,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1013,2013-01-01,08:28,Drink,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Beverages
1014,2013-01-01,08:28,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1015,2013-01-01,08:28,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1016,2013-01-01,08:28,Food,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Grocery
1017,2013-01-01,08:28,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1018,2013-01-01,08:29,Non-consumable,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1019,2013-01-01,08:29,Drink,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Beverages
1020,2013-01-01,08:29,Drink,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Beverages
1021,2013-01-01,08:29,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1022,2013-01-01,08:29,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1023,2013-01-01,08:29,Food,In-store,8.0,342,2140941914,1,Seattle Downtown,Seattle,WA,98101,Grocery
1024,2013-01-01,08:29,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1025,2013-01-01,08:30,Non-consumable,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Non-consumable
1026,2013-01-01,08:30,Drink,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Beverages
1027,2013-01-01,08:30,Drink,In-store,8.0,142,2022798805,1,Seattle Downtown,Seattle,WA,98101,Beverages
